Invoice_ID,Date,Vendor,Customer,Description,Quantity,Unit_Price,Line_Total,Invoice_Subtotal,Invoice_Tax,Invoice_Total
INV-727224,2025-02-23,"Thompson, Hancock and Burns",Jackson-Dixon,Legal Retainer - Re-contextualized grid-enabled array,10,1292.11,12921.1,38838.94,7767.79,46606.73
INV-727224,2025-02-23,"Thompson, Hancock and Burns",Jackson-Dixon,Server Hosting - Upgradable dedicated utilization,2,4503.01,9006.02,38838.94,7767.79,46606.73
INV-727224,2025-02-23,"Thompson, Hancock and Burns",Jackson-Dixon,Office  - Integrated web-enabled groupware,10,951.17,9511.7,38838.94,7767.79,46606.73
INV-727224,2025-02-23,"Thompson, Hancock and Burns",Jackson-Dixon,Legal  - Intuitive multi-tasking portal,4,1850.03,7400.12,38838.94,7767.79,46606.73
INV-269204,2025-04-21,"Murphy, Richards and Warner",Griffiths LLC,Catering  - Operative dedicated circuit,9,731.82,6586.38,29488.39,5897.68,35386.07
INV-269204,2025-04-21,"Murphy, Richards and Warner",Griffiths LLC,Audit Services - Re-engineered tangible customer loyalty,8,1419.41,11355.28,29488.39,5897.68,35386.07
INV-269204,2025-04-21,"Murphy, Richards and Warner",Griffiths LLC,Consulting - Grass-roots real-time intranet,5,1345.05,6725.25,29488.39,5897.68,35386.07
INV-269204,2025-04-21,"Murphy, Richards and Warner",Griffiths LLC,Office  - Secured needs-based access,4,1205.37,4821.48,29488.39,5897.68,35386.07
INV-848218,2025-07-12,"Murphy, Richards and Warner","Hussain, Patel and Thomas",Postage  - Managed regional toolset,6,781.73,4690.38,13489.0,2697.8,16186.8
INV-848218,2025-07-12,"Murphy, Richards and Warner","Hussain, Patel and Thomas",Office Supplies - Open-source heuristic approach,10,76.58,765.8,13489.0,2697.8,16186.8
INV-848218,2025-07-12,"Murphy, Richards and Warner","Hussain, Patel and Thomas",Office  - Automated attitude-oriented open architecture,4,1510.46,6041.84,13489.0,2697.8,16186.8
INV-848218,2025-07-12,"Murphy, Richards and Warner","Hussain, Patel and Thomas",Telecommunications  - Upgradable object-oriented encoding,1,1990.98,1990.98,13489.0,2697.8,16186.8
INV-192477,2025-09-17,"Pratt, Jackson and Wilson",Bruce-Smith,Staff Compensation - Reverse-engineered value-added help-desk,9,1462.77,13164.93,47787.5,9557.5,57345.0
